"","tempo","sesso","anno","zodiaco","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","cifre","ONUcifre","ONU","giorno","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","gruppo","auto","gandhi","gruppo1","gruppo2","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","corrette","anchor_gandhi","anchor_auto"
"146","2020/01/27 5:29:19 PM CET","Femmina","1968","Scorpione","B","40%","50 anni","3 anni","20%","C","Rimasta la stessa",3.5,"E' rimasto più o meno lo stesso","50%",47,"No",5,2,"Meno di 100 000 euro",18000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"A",18000,80,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Gandhi114","auto 100.000"
"147","2020/01/27 5:38:29 PM CET","Maschio","1978","Ariete","C","60%","50 anni","5 anni","20%","C","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","50%",9,"Si",30,4,"Meno di 100 000 euro",50000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"A",50000,90,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Gandhi114","auto 100.000"
"148","2020/01/27 5:51:04 PM CET","Femmina","1968","Sagittario","C","80%","70 anni","5 anni","50%","B","Raddoppiata",2.5,"Più che raddoppiato","80%",80,"No",20,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",35000,"Più di 35 anni",50,"D",35000,50,"Gandhi35","auto 20.000",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5,"Gandhi35","auto 20.000"
"149","2020/01/27 5:51:16 PM CET","Femmina","2003","Vergine","B","60%","60 anni","7 anni","20%","C","Raddoppiata",3.5,"Ridotto a meno della metà","50%",82,"No",48,14,NA,NA,NA,NA,"Meno di 100 000 euro",NA,"Più di 35 anni",79,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,79,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Gandhi35","auto 100.000"
"150","2020/01/27 5:56:18 PM CET","Maschio","2005","Scorpione","C","80%","70 anni","5 anni","50%","B","Rimasta la stessa",2.5,"Più che raddoppiato","80%",10,"No",7,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",30000,"Più di 35 anni",70,"D",30000,70,"Gandhi35","auto 20.000",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5,"Gandhi35","auto 20.000"
"151","2020/01/27 6:05:08 PM CET","Femmina","2002","Ariete","A","60%","70 anni","7 anni","80%","B","Dimezzata",2.5,"Ridotto a meno della metà","80%",62,"No",27,3,"Meno di 100 000 euro",15000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,"A",15000,74,"Gandhi114","auto 100.000",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,"Gandhi114","auto 100.000"
"152","2020/01/27 6:07:07 PM CET","Femmina","1971","Cancro","A","80%","60 anni","5 anni","20%","B","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","80%",71,"No",80,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",24000,"Più di 35 anni",78,"D",24000,78,"Gandhi35","auto 20.000",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5,"Gandhi35","auto 20.000"
"153","2020/01/27 6:12:30 PM CET","Maschio","1974","Acquario","B","60%","60 anni","5 anni","20%","A","Rimasta la stessa",3.5,"Più che raddoppiato","80%",11,"No",7,2,"Meno di 100 000 euro",18000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"A",18000,90,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi114","auto 100.000"
"154","2020/01/27 6:14:29 PM CET","Maschio","2003","Toro","A","60%","50 anni","3 anni","50%","A","Rimasta la stessa",4.5,"Ridotto a meno della metà","50%",77,"No",69,3,"Meno di 100 000 euro",42000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",42000,0,"Gandhi114","auto 100.000",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Gandhi114","auto 100.000"
"155","2020/01/27 6:16:08 PM CET","Femmina","1971","Cancro","A","80%","70 anni","7 anni","80%","B","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","80%",71,"Si",90,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",22000,"Più di 35 anni",78,"D",22000,78,"Gandhi35","auto 20.000",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,8,"Gandhi35","auto 20.000"
"156","2020/01/27 6:17:52 PM CET","Femmina","1972","Capricorno","C","60%","50 anni","5 anni","50%","C","Raddoppiata",3.5,"E' rimasto più o meno lo stesso","50%",46,"No",10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",45,"Più di 35 anni",79,"D",NA,79,"Gandhi35","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Gandhi35","auto 20.000"
"157","2020/01/27 6:20:03 PM CET","Femmina","2003","Pesci","C","80%","60 anni","7 anni","80%","A","Rimasta la stessa",3.5,"E' rimasto più o meno lo stesso","80%",90,"No",20,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",30000,"Più di 35 anni",81,"D",30000,81,"Gandhi35","auto 20.000",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,4,"Gandhi35","auto 20.000"
"158","2020/01/27 6:20:08 PM CET","Maschio","2003","Ariete","C","80%","60 anni","5 anni","80%","B","Dimezzata",2.5,"E' rimasto più o meno lo stesso","80%",40,"No",40,1,"Meno di 100 000 euro",10000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"A",10000,96,"Gandhi114","auto 100.000",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,6,"Gandhi114","auto 100.000"
"159","2020/01/27 6:20:16 PM CET","Maschio","2003","Toro","B","60%","70 anni","7 anni","80%","C","Raddoppiata",2.5,"Più che raddoppiato","80%",31,"Si",59,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",16,"Più di 35 anni",80,"D",NA,80,"Gandhi35","auto 20.000",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,5,"Gandhi35","auto 20.000"
"160","2020/01/27 6:20:18 PM CET","Femmina","2003","Gemelli","C","80%","60 anni","5 anni","20%","B","Raddoppiata",3.5,"Più che raddoppiato","20%",94,"No",85,4,"Meno di 100 000 euro",NA,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,"A",NA,79,"Gandhi114","auto 100.000",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Gandhi114","auto 100.000"
