"","tempo","sesso","anno","zodiaco","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","cifre","ONUcifre","ONU","giorno","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","gruppo","auto","gandhi","gruppo1","gruppo2","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","corrette","anchor_gandhi","anchor_auto"
"1","2020/01/26 8:10:23 PM CET","Femmina","1992","Toro","C","80%","70 anni","7 anni","50%","A","Rimasta la stessa",3.5,"Ridotto a meno della metà","50%",3,"No",10,4,"Meno di 100 000 euro",23000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"A",23000,80,"Gandhi114","auto 100.000",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,"Gandhi114","auto 100.000"
"2","2020/01/26 8:47:14 PM CET","Femmina","2001","Toro","A","60%","60 anni","5 anni","80%","C","Dimezzata",2.5,"Più che raddoppiato","80%",31,"Si",90,21,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",30000,"Meno di 114 anni",80,NA,NA,NA,NA,"C",30000,80,"Gandhi114","auto 20.000",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,5,"Gandhi114","auto 20.000"
"3","2020/01/26 10:47:22 PM CET","Maschio","1996","Vergine","C","60%","60 anni","3 anni","50%","A","Raddoppiata",2.5,"Ridotto a meno della metà","50%",20,"Si",80,13,NA,NA,NA,NA,"Meno di 100 000 euro",25000,"Più di 35 anni",58,NA,NA,NA,NA,NA,NA,NA,NA,"B",25000,58,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,"Gandhi35","auto 100.000"
"4","2020/01/27 7:50:14 AM CET","Femmina","1960","Leone","A","80%","50 anni","3 anni","20%","B","Rimasta la stessa",4.5,"Più che raddoppiato","20%",3,"Si",4,4,"Più di 100 000 euro",3,"Più di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"A",NA,5,"Gandhi114","auto 100.000",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"Gandhi114","auto 100.000"
"6","2020/01/27 10:09:25 AM CET","Maschio","2004","Bilancia","C","60%","60 anni","5 anni","20%","C","Raddoppiata",2.5,"Più che raddoppiato","80%",71,"No",0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",NA,"Meno di 35 anni",10,"D",NA,10,"Gandhi35","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,"Gandhi35","auto 20.000"
"7","2020/01/27 10:10:40 AM CET","Femmina","1972","Gemelli","C","40%","60 anni","5 anni","20%","B","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","50%",9,"No",23,8,NA,NA,NA,NA,"Meno di 100 000 euro",20,"Più di 35 anni",50,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,50,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,"Gandhi35","auto 100.000"
"8","2020/01/27 10:23:23 AM CET","Femmina","1967","Acquario","B","60%","50 anni","5 anni","50%","A","Raddoppiata",2.5,"Più che raddoppiato","50%",37,"Si",10,2,"Meno di 100 000 euro",40,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"A",NA,40,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Gandhi114","auto 100.000"
"9","2020/01/27 10:23:34 AM CET","Femmina","1977","Bilancia","C","80%","70 anni","3 anni","20%","C","Dimezzata",2.5,"Più che raddoppiato","80%",33,"No",35,15,NA,NA,NA,NA,"Meno di 100 000 euro",40000,"Più di 35 anni",79,NA,NA,NA,NA,NA,NA,NA,NA,"B",40000,79,"Gandhi35","auto 100.000",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,5,"Gandhi35","auto 100.000"
"10","2020/01/27 10:26:34 AM CET","Maschio","1965","Leone","B","60%","50 anni","3 anni","50%","B","Dimezzata",3.5,"Ridotto a meno della metà","50%",82,"No",20,18,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",15000,"Meno di 114 anni",70,NA,NA,NA,NA,"C",15000,70,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,"Gandhi114","auto 20.000"
"11","2020/01/27 10:47:55 AM CET","Maschio","2002","Acquario","C","60%","60 anni","3 anni","20%","B","Rimasta la stessa",2.5,"Ridotto a meno della metà","50%",17,"Si",25,22,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",27000,"Meno di 114 anni",76,NA,NA,NA,NA,"C",27000,76,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,"Gandhi114","auto 20.000"
"12","2020/01/27 10:49:11 AM CET","Femmina","1963","Vergine","A","80%","70 anni","7 anni","20%","B","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","80%",2,"Si",5,10,NA,NA,NA,NA,"Meno di 100 000 euro",10,"Più di 35 anni",60,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,60,"Gandhi35","auto 100.000",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,7,"Gandhi35","auto 100.000"
"13","2020/01/27 10:59:14 AM CET","Femmina","2002","Cancro","B","80%","60 anni","5 anni","50%","C","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","80%",40,"No",20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",21000,"Più di 35 anni",80,"D",21000,80,"Gandhi35","auto 20.000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,"Gandhi35","auto 20.000"
"14","2020/01/27 11:00:44 AM CET","Femmina","1977","Capricorno","B","80%","70 anni","7 anni","80%","C","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","80%",87,"No",50,14,NA,NA,NA,NA,"Meno di 100 000 euro",25000,"Più di 35 anni",58,NA,NA,NA,NA,NA,NA,NA,NA,"B",25000,58,"Gandhi35","auto 100.000",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,6,"Gandhi35","auto 100.000"
"15","2020/01/27 11:00:53 AM CET","Femmina","1964","Toro","B","60%","70 anni","7 anni","50%","C","Rimasta la stessa",3.5,"E' rimasto più o meno lo stesso","80%",59,"No",10,22,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",NA,"Meno di 114 anni",70,NA,NA,NA,NA,"C",NA,70,"Gandhi114","auto 20.000",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,"Gandhi114","auto 20.000"
"16","2020/01/27 11:05:42 AM CET","Femmina","2000","Acquario","A","80%","70 anni","7 anni","80%","A","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","80%",22,"Si",26,3,"Meno di 100 000 euro",40000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,"A",40000,78,"Gandhi114","auto 100.000",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,7,"Gandhi114","auto 100.000"
"17","2020/01/27 11:09:01 AM CET","Femmina","1991","Ariete","C","60%","70 anni","7 anni","50%","B","Rimasta la stessa",2.5,"Più che raddoppiato","80%",52,"No",40,11,NA,NA,NA,NA,"Meno di 100 000 euro",80000,"Più di 35 anni",45,NA,NA,NA,NA,NA,NA,NA,NA,"B",80000,45,"Gandhi35","auto 100.000",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,5,"Gandhi35","auto 100.000"
"18","2020/01/27 11:16:41 AM CET","Maschio","1966","Cancro","C","60%","60 anni","5 anni","50%","C","Rimasta la stessa",3.5,"Più che raddoppiato","80%",81,"No",79,7,"Meno di 100 000 euro",45000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"A",45000,80,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi114","auto 100.000"
"19","2020/01/27 11:38:14 AM CET","Maschio","2005","Scorpione","C","60%","60 anni","3 anni","80%","C","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","20%",15,"Si",99,17,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",40000,"Meno di 114 anni",77,NA,NA,NA,NA,"C",40000,77,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"Gandhi114","auto 20.000"
"20","2020/01/27 11:55:48 AM CET","Femmina","2001","Cancro","C","60%","60 anni","3 anni","20%","C","Rimasta la stessa",3.5,"E' rimasto più o meno lo stesso","50%",40,"Si",80,7,"Meno di 100 000 euro",40000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"A",40000,60,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Gandhi114","auto 100.000"
"21","2020/01/27 12:05:16 PM CET","Femmina","2000","Vergine","B","60%","60 anni","5 anni","20%","C","Rimasta la stessa",2.5,"Ridotto a meno della metà","80%",5,"No",3,21,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",22000,"Meno di 114 anni",80,NA,NA,NA,NA,"C",22000,80,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,"Gandhi114","auto 20.000"
"22","2020/01/27 12:31:37 PM CET","Femmina","2001","Vergine","C","60%","60 anni","5 anni","50%","A","Rimasta la stessa",3.5,"Più che raddoppiato","80%",75,"No",60,10,NA,NA,NA,NA,"Meno di 100 000 euro",40,"Più di 35 anni",65,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,65,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi35","auto 100.000"
"23","2020/01/27 12:37:27 PM CET","Femmina","2004","Sagittario","C","60%","60 anni","5 anni","50%","C","Rimasta la stessa",2.5,"Più che raddoppiato","20%",82,"No",18,18,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",30000,"Meno di 114 anni",75,NA,NA,NA,NA,"C",30000,75,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Gandhi114","auto 20.000"
"24","2020/01/27 12:38:10 PM CET","Femmina","1981","Vergine","B","80%","70 anni","7 anni","50%","C","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","50%",87,"No",50,4,"Meno di 100 000 euro",50,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"A",NA,90,"Gandhi114","auto 100.000",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"Gandhi114","auto 100.000"
"25","2020/01/27 12:43:55 PM CET","Femmina","1973","Pesci","A","60%","70 anni","3 anni","20%","A","Rimasta la stessa",2.5,"Più che raddoppiato","50%",18,"No",5,6,"Più di 100 000 euro",105000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,"A",105000,93,"Gandhi114","auto 100.000",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"Gandhi114","auto 100.000"
"26","2020/01/27 12:47:19 PM CET","Femmina","1962","Bilancia","B","60%","50 anni","3 anni","20%","A","Raddoppiata",3.5,"Ridotto a meno della metà","80%",27,"Si",50,14,NA,NA,NA,NA,"Meno di 100 000 euro",30000,"Più di 35 anni",60,NA,NA,NA,NA,NA,NA,NA,NA,"B",30000,60,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,"Gandhi35","auto 100.000"
"27","2020/01/27 12:48:48 PM CET","Femmina","2004","Sagittario","B","60%","60 anni","5 anni","20%","C","Rimasta la stessa",4.5,"E' rimasto più o meno lo stesso","50%",32,"Si",45,13,NA,NA,NA,NA,"Meno di 100 000 euro",30000,"Più di 35 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,"B",30000,78,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Gandhi35","auto 100.000"
"28","2020/01/27 12:49:33 PM CET","Femmina","1973","Ariete","B","80%","70 anni","7 anni","50%","C","Raddoppiata",2.5,"Più che raddoppiato","80%",63,"No",62,3,"Meno di 100 000 euro",28000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,"A",28000,79,"Gandhi114","auto 100.000",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,5,"Gandhi114","auto 100.000"
"29","2020/01/27 12:54:06 PM CET","Maschio","1957","Leone","C","60%","50 anni","5 anni","80%","B","Raddoppiata",4.5,"E' rimasto più o meno lo stesso","50%",74,"No",50,8,NA,NA,NA,NA,"Meno di 100 000 euro",60,"Più di 35 anni",79,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,79,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,"Gandhi35","auto 100.000"
"30","2020/01/27 1:04:50 PM CET","Maschio","2002","Scorpione","C","80%","60 anni","3 anni","50%","B","Rimasta la stessa",2.5,"Ridotto a meno della metà","80%",13,"Si",60,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",25000,"Più di 35 anni",75,"D",25000,75,"Gandhi35","auto 20.000",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,5,"Gandhi35","auto 20.000"
"31","2020/01/27 1:11:06 PM CET","Femmina","2001","Cancro","B","60%","60 anni","7 anni","50%","C","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","50%",82,"No",22,21,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",25000,"Meno di 114 anni",78,NA,NA,NA,NA,"C",25000,78,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,"Gandhi114","auto 20.000"
"32","2020/01/27 1:15:06 PM CET","Femmina","1971","Scorpione","C","80%","70 anni","7 anni","80%","C","Raddoppiata",2.5,"Più che raddoppiato","80%",57,"No",5,14,NA,NA,NA,NA,"Meno di 100 000 euro",25,"Più di 35 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,78,"Gandhi35","auto 100.000",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,6,"Gandhi35","auto 100.000"
"33","2020/01/27 1:18:24 PM CET","Maschio","2003","Leone","A","60%","70 anni","5 anni","50%","A","Raddoppiata",3.5,"Più che raddoppiato","50%",64,"Si",77,13,NA,NA,NA,NA,"Meno di 100 000 euro",NA,"Più di 35 anni",50,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,50,"Gandhi35","auto 100.000",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,"Gandhi35","auto 100.000"
"34","2020/01/27 1:19:22 PM CET","Femmina","1975","Capricorno","C","80%","60 anni","7 anni","80%","C","Rimasta la stessa",2.5,"Più che raddoppiato","50%",37,"No",0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",NA,"Più di 35 anni",70,"D",NA,70,"Gandhi35","auto 20.000",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"Gandhi35","auto 20.000"
"35","2020/01/27 1:19:26 PM CET","Maschio","2002","Cancro","C","60%","70 anni","5 anni","50%","A","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","80%",8,"Si",18,19,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",30000,"Meno di 114 anni",87,NA,NA,NA,NA,"C",30000,87,"Gandhi114","auto 20.000",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,"Gandhi114","auto 20.000"
"36","2020/01/27 1:20:32 PM CET","Femmina","2001","Vergine","C","60%","50 anni","5 anni","50%","A","Rimasta la stessa",3.5,"E' rimasto più o meno lo stesso","50%",44,"No",35,22,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",45000,"Meno di 114 anni",90,NA,NA,NA,NA,"C",45000,90,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Gandhi114","auto 20.000"
"37","2020/01/27 1:20:33 PM CET","Femmina","2005","Scorpione","B","60%","60 anni","7 anni","80%","B","Raddoppiata",2.5,"Più che raddoppiato","50%",43,"No",9,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",15000,"Più di 35 anni",78,"D",15000,78,"Gandhi35","auto 20.000",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,4,"Gandhi35","auto 20.000"
"38","2020/01/27 1:20:34 PM CET","Femmina","2001","Cancro","C","60%","50 anni","5 anni","50%","A","Rimasta la stessa",3.5,"E' rimasto più o meno lo stesso","50%",76,"No",40,20,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",42000,"Meno di 114 anni",92,NA,NA,NA,NA,"C",42000,92,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Gandhi114","auto 20.000"
"39","2020/01/27 1:20:49 PM CET","Femmina","2001","Capricorno","B","60%","60 anni","5 anni","20%","C","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","20%",2,"Si",10,11,NA,NA,NA,NA,"Meno di 100 000 euro",50000,"Più di 35 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,"B",50000,78,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Gandhi35","auto 100.000"
"40","2020/01/27 1:23:00 PM CET","Femmina","1977","Cancro","C","60%","50 anni","7 anni","20%","C","Dimezzata",3.5,"Più che raddoppiato","50%",18,"No",2,4,"Meno di 100 000 euro",30000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,"A",30000,90,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"Gandhi114","auto 100.000"
"41","2020/01/27 1:23:20 PM CET","Maschio","2005","Toro","B","60%","60 anni","3 anni","50%","B","Raddoppiata",2.5,"Più che raddoppiato","50%",92,"No",20,5,"Meno di 100 000 euro",25,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,"A",NA,87,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,"Gandhi114","auto 100.000"
"42","2020/01/27 1:24:33 PM CET","Maschio","2000","Pesci","B","80%","70 anni","7 anni","80%","B","Dimezzata",2.5,"Ridotto a meno della metà","50%",21,"Si",99,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",30,"Più di 35 anni",70,"D",NA,70,"Gandhi35","auto 20.000",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,8,"Gandhi35","auto 20.000"
"43","2020/01/27 1:28:09 PM CET","Femmina","1971","Cancro","C","60%","70 anni","5 anni","80%","A","Raddoppiata",2.5,"E' rimasto più o meno lo stesso","50%",1,"Si",80,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",25000,"Meno di 35 anni",78,"D",25000,78,"Gandhi35","auto 20.000",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"Gandhi35","auto 20.000"
"44","2020/01/27 1:31:05 PM CET","Femmina","1965","Bilancia","B","40%","60 anni","3 anni","20%","C","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","20%",76,"No",5,20,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",25000,"Meno di 114 anni",78,NA,NA,NA,NA,"C",25000,78,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Gandhi114","auto 20.000"
"45","2020/01/27 1:31:40 PM CET","Maschio","2003","Gemelli","C","80%","50 anni","7 anni","50%","C","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","50%",0,"Si",25,10,NA,NA,NA,NA,"Meno di 100 000 euro",40000,"Più di 35 anni",75,NA,NA,NA,NA,NA,NA,NA,NA,"B",40000,75,"Gandhi35","auto 100.000",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3,"Gandhi35","auto 100.000"
"46","2020/01/27 1:33:23 PM CET","Maschio","2002","Ariete","B","60%","60 anni","5 anni","50%","B","Raddoppiata",2.5,"Più che raddoppiato","50%",81,"No",99,22,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",NA,"Più di 114 anni",10,NA,NA,NA,NA,"C",NA,10,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,"Gandhi114","auto 20.000"
"47","2020/01/27 1:35:23 PM CET","Femmina","1971","Cancro","B","80%","70 anni","7 anni","80%","B","Dimezzata",2.5,"Ridotto a meno della metà","80%",1,"No",0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",25000,"Più di 35 anni",78,"D",25000,78,"Gandhi35","auto 20.000",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,"Gandhi35","auto 20.000"
"48","2020/01/27 1:35:35 PM CET","Maschio","2003","Acquario","C","40%","60 anni","5 anni","20%","C","Rimasta la stessa",2.5,"Più che raddoppiato","50%",78,"No",40,6,"Meno di 100 000 euro",20,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,"A",NA,73,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Gandhi114","auto 100.000"
"49","2020/01/27 1:35:38 PM CET","Maschio","2003","Cancro","C","60%","60 anni","5 anni","20%","B","Rimasta la stessa",2.5,"Più che raddoppiato","50%",37,"No",43,23,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",NA,"Meno di 114 anni",70,NA,NA,NA,NA,"C",NA,70,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,"Gandhi114","auto 20.000"
"50","2020/01/27 1:41:54 PM CET","Femmina","2004","Toro","B","60%","60 anni","5 anni","50%","B","Rimasta la stessa",2.5,"Più che raddoppiato","50%",96,"No",26,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",NA,"Più di 35 anni",60,"D",NA,60,"Gandhi35","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,"Gandhi35","auto 20.000"
"51","2020/01/27 1:42:59 PM CET","Femmina","2000","Acquario","C","60%","60 anni","5 anni","20%","C","Raddoppiata",3.5,"Più che raddoppiato","80%",26,"No",5,12,NA,NA,NA,NA,"Più di 100 000 euro",NA,"Più di 35 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,0,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi35","auto 100.000"
"52","2020/01/27 1:45:44 PM CET","Maschio","1965","Leone","C","60%","60 anni","3 anni","50%","A","Rimasta la stessa",4.5,"E' rimasto più o meno lo stesso","20%",80,"Si",20,7,"Meno di 100 000 euro",40000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"A",40000,75,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Gandhi114","auto 100.000"
"53","2020/01/27 1:45:56 PM CET","Femmina","2003","Leone","C","80%","70 anni","7 anni","50%","B","Raddoppiata",2.5,"Più che raddoppiato","80%",82,"No",26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",28000,"Più di 35 anni",79,"D",28000,79,"Gandhi35","auto 20.000",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,6,"Gandhi35","auto 20.000"
"54","2020/01/27 1:47:38 PM CET","Femmina","2003","Toro","C","80%","70 anni","7 anni","50%","C","Rimasta la stessa",2.5,"Più che raddoppiato","50%",57,"Si",90,18,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",35,"Meno di 114 anni",60,NA,NA,NA,NA,"C",NA,60,"Gandhi114","auto 20.000",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,"Gandhi114","auto 20.000"
"55","2020/01/27 1:47:38 PM CET","Femmina","2003","Toro","C","80%","60 anni","7 anni","50%","B","Rimasta la stessa",2.5,"Più che raddoppiato","50%",95,"No",90,7,"Meno di 100 000 euro",40000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,"A",40000,65,"Gandhi114","auto 100.000",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,4,"Gandhi114","auto 100.000"
"56","2020/01/27 1:47:41 PM CET","Femmina","2003","Pesci","C","80%","70 anni","7 anni","50%","B","Rimasta la stessa",2.5,"Più che raddoppiato","50%",86,"Si",90,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",30,"Più di 35 anni",64,"D",NA,64,"Gandhi35","auto 20.000",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,5,"Gandhi35","auto 20.000"
